,Zn,Ag,Cu,Pb,Au,Co,In,Ge,lat,long
379171,6.0,0.25,20.0,18.0,,1.0,0.007,2.5,-24.0905,127.807023
379172,5.0,0.25,13.0,18.0,,0.5,0.006,2.5,-24.090436,127.807123
379173,4.0,0.25,12.0,18.0,,1.0,0.008,2.5,-24.090436,127.807123
379174,7.0,0.25,15.0,14.0,,1.0,0.007,2.5,-24.107056,127.83454
379175,3.0,0.25,4.0,21.0,,2.0,0.027,2.5,-24.048918,127.855011
379176,6.0,0.25,6.0,6.0,,2.0,0.007,2.5,-24.109494,128.143052
379177,227.0,0.25,12.0,9.0,,66.0,0.029,2.5,-24.122204,128.174718
379178,9.0,0.25,12.0,8.0,,3.0,0.04,2.5,-24.121812,128.175594
379179,37.0,0.25,20.0,7.0,,11.0,0.021,2.5,-24.031342,128.313235
379180,5.0,0.25,7.0,10.0,,1.0,0.0025,2.5,-24.38074,127.893834
379181,12.0,0.25,14.0,17.0,,3.0,0.033,2.5,-24.14824,128.22668
379182,5.0,0.25,11.0,6.0,,2.0,0.008,2.5,-24.1281,128.17387
379183,20.0,0.25,16.0,24.0,,5.0,0.04,2.5,-24.11809,128.18741
379184,8.0,0.25,11.0,7.0,,1.0,0.02,2.5,-24.11381,128.19415
379185,4.0,0.25,5.0,2.0,,1.0,0.0025,2.5,-24.12571,128.15126
379186,8.0,0.25,11.0,9.0,,2.0,0.029,2.5,-24.13464,128.17067
379187,4.0,0.25,6.0,4.0,,1.0,0.006,2.5,-24.04184,128.05251
379188,7.0,0.25,9.0,8.0,,3.0,0.01,2.5,-24.0352,128.05792
379189,10.0,0.25,12.0,11.0,,3.0,0.007,2.5,-24.02692,128.0703
379190,11.0,0.25,11.0,19.0,,3.0,0.027,2.5,-24.10047,128.25575
